id,time,friends,followers,_source_file
581228517,28177,10,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
152430904,20690,13,12,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
833336861,209076,7,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
79331006,33070,12,10,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
836117720,1245,4,1,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
58347171,41150,11,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
35369613,8032,13,13,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
421487891,249231,7,5,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
69023499,618264,11,10,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
152670659,248162,13,12,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
833332679,245721,8,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
85893391,188686,9,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
113871693,1306493,11,11,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
16346914,52191,10,8,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
58416542,6840,11,11,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
812528318,27391,7,5,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
218137853,16425,8,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
152912722,384,6,5,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
310151103,60984,9,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
211269575,27506,8,5,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
261623192,77926,9,8,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
698644839,41314,9,10,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
138731694,16590,8,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
634116568,5245,9,8,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
11306102,41215,10,6,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
128389262,0,8,16,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
599399120,14130,9,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
833305244,8739,9,10,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
152686459,111517,11,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
138573066,18865,11,12,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
364086768,101596,8,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
601364623,86141,10,8,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
11803068,6141049,14,13,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
756543156,8418,9,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
380046286,301879,10,8,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
753894340,3876,9,10,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
458241501,10186,10,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
58343586,45954,9,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
19576084,3209,12,13,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
152730815,11196,10,10,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
421466321,183638,11,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
152930606,7034,10,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
4898665,277,12,12,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
421471401,1421,7,7,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
189458671,39969,12,10,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
129130857,2145,12,14,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
135194590,33865,9,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
147912521,2732,8,6,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
265495547,9858,10,8,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
581027169,244,10,9,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
316271561,1434,7,4,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
658571656,59768,6,5,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
58264225,21327,10,8,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
152921324,72886,12,12,C:\Users\ahmed\Desktop\Level 4\FALL\Social Network\Lab\TASK 19-11\5G_Conspiracy_Graphs\328\nodes.csv
